,percentage,AA,DL,WN,UA,AS,B6,NK,O
2010,17.268710009446337,1.4572448840850483,2.098008454730356,4.040484847019054,0.7187001414082876,0.2035621989492594,0.6478022026577193,0.0,8.102907280596614
2011,17.160785179846254,1.6131711912728435,1.7568457397448038,4.017070041629959,0.8395010846664271,0.211444631726949,0.7840558225659587,0.0,7.938696668239315
2012,16.289138398382615,1.609985759654059,1.4263144928406257,3.5063366423029145,1.8969741643186993,0.2351412110231628,0.6975670035996157,0.0,6.91681912464354
2013,19.332121513177995,1.7077683868170126,1.6489566969496106,4.575348513426994,1.612360314386633,0.21544923119336865,0.8480752437953354,0.0,8.72416312660904
2014,20.53970481171983,1.8798892266432707,1.9930372309341318,5.74723131043259,1.9927107598511362,0.2853529092267773,0.8564367468290637,0.0,7.7850466278028625
2015,18.173906901762287,2.1264361593991077,2.1199918406331997,4.5615981498103055,2.0723382514655673,0.32140825034339626,0.9914111837972985,0.5430756310405822,5.437647435272833
2016,16.974030814976633,2.742067957857171,2.2772479207527407,4.383979943243252,1.8128729089595699,0.3011041255982475,1.1863662757683004,0.5577591231078859,3.7126325596894647
2017,17.866303317877968,2.521208024289199,2.3761763120391652,5.0042637208722835,1.719039914736156,0.41844204220863385,1.3648488595097363,0.5143074753362383,3.9480169688865563
2018,18.11110806125117,2.2981387813813257,1.8606640986845953,4.1779892717017635,1.4729991740424757,0.44590338653675377,1.1121314278917456,0.40029411740241766,6.342987803610091
2019,18.35296698197543,2.5014426632473,1.9188128542070055,3.716904132922,1.6283669833497192,0.5655320769756336,1.0174565284436066,0.5049152948173122,6.499536448012856
