,HI,WA,MT,ME,ND,SD,WY,WI,ID,VT,MN,OR,NH,IA,MA,NE,NY,PA,CT,RI,NJ,IN,NV,UT,CA,OH,IL,DC,DE,WV,MD,CO,KY,KS,VA,MO,AZ,OK,NC,TN,TX,NM,AL,MS,GA,SC,AR,LA,FL,MI,AK
2010,7.0349936045512695,11.53849468667316,9.462859643365059,15.115582704515512,12.987951807228914,15.154242696996972,12.41511238641798,16.21360562991583,11.431099314310993,19.1156564896977,18.299695483636967,13.303899926416483,14.51415400129655,15.094518406215949,16.22850921096535,14.483328542684678,18.03445726805943,16.25055157786856,14.329179343975326,15.497999578858707,20.75345383725884,15.879502597933328,19.521041090324623,14.180197538986928,17.50276108178907,14.210692818728251,21.500029938327046,NaN,NaN,17.493219682293685,22.404909834823457,18.113686534216335,16.893869377695626,13.08349285819467,14.293413711536735,18.439547349612866,15.271074569351978,14.953447705468124,15.450667331919671,16.231971617348382,18.429254456362045,16.45314685314685,15.195624365930044,15.91776798825257,18.92018227997338,16.64144386525419,15.700331080526444,14.852349096030496,17.966155903171856,18.757546211864792,12.481353839823054
2011,7.392511354607077,11.282498359976522,8.628228298256865,14.800189543516032,13.50355797404772,14.79138010087116,11.671036022914846,15.407357146319004,10.451549697185607,18.120481927710845,14.66815340935711,13.104024093870676,14.342767841639173,15.450195258786644,17.8794046558962,14.598721885633662,17.27717360032223,17.590786806139047,12.877745728866207,15.361674755862232,22.954969357847055,15.859143412041297,18.245528955336866,11.553588987217307,17.10035087334869,14.364487137203167,22.376502451462954,NaN,NaN,20.45175546280383,20.907639200986814,19.258314350797267,15.329561584134662,15.75399467376831,15.83971583971584,18.21467888317745,15.778145466444823,15.357124880455025,17.19319593901301,16.491063893786084,18.024753141699883,16.309410322756364,14.825085866938048,15.449680649059209,18.398138399402807,16.398684450940983,15.852030349408968,14.978367652321003,17.31931375063292,16.612633057761926,11.255048388325841
2012,8.177524109427278,11.990910679951057,8.00596125186289,16.03913430180848,11.66590319132692,12.613369163587503,9.97408082941346,13.434104704742147,10.49146234676007,21.182141045154744,11.349930819635041,13.238671956567133,15.32608695652174,14.376603934987168,14.572423304304216,13.13426329555362,15.339466519837263,13.568877401654497,13.057157839538542,12.14388489208633,25.65005213764338,13.932116473306086,17.677630159366235,9.767734168923823,17.630696057472182,14.119702104514456,21.519594309876346,NaN,NaN,17.86422200198216,20.80442083055096,19.6117096741417,14.594247405712451,12.311256690900375,16.35156262592073,15.814127298640804,13.798051938764322,13.08773515351868,13.233571829267094,14.50603569577131,18.804063582855036,14.299186608511139,14.524330235101148,15.137320328542096,15.564059883922427,15.351532166537243,14.658921372567693,14.747005988023954,15.837473703057158,14.409102526814909,11.498095312135582
2013,9.527772383884898,13.598040479566842,9.931726673280037,18.03509670808249,15.077663302128549,16.32937320770176,13.02725968436155,18.07955934458696,12.729451495179475,20.252714006050898,14.758748742811461,14.046393674945923,16.55629139072848,18.57699728314368,17.621184678937553,16.650786996455658,19.384166856653334,16.803180422457867,15.801060292928385,15.412605588044185,24.630767969838537,16.196552018434755,22.212169480726345,12.49956517201795,18.188552749766185,17.627930504082833,27.526559192156903,NaN,13.46704871060172,19.149512459371614,25.34112088985458,25.443635899399975,16.875278066142666,18.10943833236827,17.896304247169255,20.554429819333524,16.866495290462815,18.116903214396253,17.09601979472472,18.870514820592824,21.98055580146958,19.536465156903112,17.619007780473524,16.87382052450055,19.954402840573305,18.088972597288908,19.126317109884596,17.819335227648185,19.047382649077754,16.00088247534334,11.647190896565801
2014,7.321900419667375,14.831266934887921,10.322019147084422,16.666666666666664,16.249753791609216,18.592657342657343,13.827299092525024,19.12214011652693,14.134881149806521,19.05669366364936,16.144405736617802,15.033528342523713,15.531536867041753,21.611702127659573,16.71324363175329,18.02531867361689,19.044412753772306,18.01965382264113,14.947436074002663,15.026333113890717,24.384379113646336,18.673527167089293,23.73714650861029,12.600153464551472,20.95734016258711,18.699018472230687,28.447289372049777,NaN,24.22096317280453,20.870393900889454,27.321658539806936,25.512478798158465,19.328134373125376,19.053368751509296,18.57685419996875,22.51587309030546,20.10046933374416,19.354918376923266,17.493378847625213,21.554224759053056,23.181682026847227,22.148006785411365,18.377870022052146,18.061867761325317,19.473093792828294,19.005554440206115,21.59547018348624,19.271134151323484,20.410613911718944,16.914187084912385,12.428309083203843
2015,9.206637413627881,14.776919999407292,8.894260567745134,15.402630156728517,12.63390392048592,14.89170575905779,12.535742880018299,14.013840830449828,12.75424871864041,16.35598316295851,14.451498710993112,13.208258851698181,13.772019216771,16.239043824701195,17.627033582869807,14.403950797933145,19.483138444793177,16.875509886060517,14.697996392531564,14.37150378413952,22.386558599065253,15.18981427403341,20.515789998007573,12.22853263113468,18.640581090264817,15.490167122006449,22.56897709967463,NaN,39.0,18.321195860482945,23.680938566008862,21.505101497433277,15.268918617060882,15.356244761106455,16.6801956087034,17.356154619748292,17.705347819325024,15.578209620898376,16.55934963392047,17.10327303527134,20.099833417157743,17.43980242848323,15.088982757426772,13.678981248250768,17.19277780595425,16.057197943444727,16.607121352013166,16.22387829284381,19.424912020620898,15.671407060398193,13.069697643397065
2016,8.309609070438743,13.780841849049164,8.754307072358817,15.792490685010034,10.832025117739404,11.783878651121976,11.776262567895527,12.664066675905211,11.836638338054769,17.350469599604548,13.95903231502737,13.835335481980662,11.308104886769964,13.477088948787062,17.686765016834467,12.618311311029895,19.30976444342117,15.323270253188086,13.683122508244328,12.761094033262394,21.775712464530987,14.660730733804114,19.25296211036391,12.029589778076664,19.576117277152925,14.50867972607103,20.70869724770642,NaN,NaN,17.90752351097179,17.73160947016151,17.833914638817767,14.375079790629389,12.089267690927443,15.314377142226604,16.259265408166254,16.060106694969694,12.441200324412003,15.836860140163461,15.972970939999499,17.738235390724537,16.304143126177024,13.959047087881443,12.611546166454199,16.11182046914627,15.64861657610393,12.613559112539399,15.340525455009226,18.693032907859784,14.39547322117509,8.142205007608244
2017,9.400460376133031,15.767856677184655,9.982788296041308,20.191458026509572,11.294589909679773,12.049927988478156,13.207047291031927,14.112189944573291,12.410607204726158,21.65546731826512,13.413539738628078,15.73358161626793,12.718446601941746,13.709619654752526,20.621977589935128,12.470485351989506,20.5052756845756,16.355960764141404,13.749943721579397,14.547437295528898,23.655153702592266,15.00199760287655,20.95081206772484,13.284548757120437,20.777370024112695,15.695608824479365,19.600834488517517,NaN,NaN,16.807909604519775,18.802158095332377,17.864377429999674,15.355091911234236,13.22397731875253,15.882270693512304,17.028447010933874,16.145986920848586,13.454026697462723,16.46806760348945,17.693509410012936,18.166067002191795,15.979453005692074,13.93762620596814,14.07670602988818,17.668200419838424,15.863631884914769,14.50508254631966,17.613344997134327,19.532491491598705,15.431759450562643,9.234531267172216
2018,8.275060391957426,15.142412599625313,11.921699455428543,17.661921488876565,13.526174025061483,16.826711302968903,13.363381654281886,14.967298888162198,12.224712155165752,17.672458106302045,14.040552348909511,13.937951260570511,13.191743942566559,15.720839504388975,21.11699445284922,14.528360155097278,18.92004281632873,18.039564323386802,15.037312161379358,15.69422943468745,22.88436627806044,16.19409832183976,19.823541184842554,13.323925094645755,17.943065599645276,16.771199408114878,21.86115683714594,NaN,NaN,20.13344937626922,20.577860531264914,18.88879691156882,17.09199880131855,14.844104492124197,17.29800508357082,18.095252232126292,18.358522690393094,15.352452045733726,18.950972369307788,18.79695634761714,19.42884520956063,17.089481718397906,16.569170771756976,15.324920709899454,17.818301923637918,15.817883540016581,15.728482514356454,17.807741345714355,19.91188172569404,14.905643268077903,8.805662805662806
2019,9.725950054288816,16.533002788968084,12.822775404049786,18.634414366121682,16.457616241759524,17.20887376851655,16.742961776150146,15.777785089162336,11.872986654394847,19.155338798381237,15.086320602632119,13.470004599513766,12.839967316446831,16.483814167682514,20.999257976749938,15.508192524321556,19.861800141743444,16.878192107175245,15.29731726152503,16.465664408833085,24.532892654969938,16.28712944921242,19.03387866910642,13.637645341604603,18.062901757115966,16.19120154974585,22.34956890714576,NaN,NaN,20.591294012776704,20.397767921018744,21.805983359886703,17.134574672825252,16.76350599579676,17.05036316218539,18.783323838321866,18.336764261114745,15.514104778353483,18.751429224788474,17.892112584456406,19.966787582439743,15.76530981129347,16.704707918432867,16.280854329198107,16.696145748373514,16.55724478334467,16.188769414575866,17.913627416927174,19.213227883777737,16.124735178603906,10.223361222079848
